cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
-9.531204150082129,9.531204150082129,,,,2022-09-16,2022-10-09,,24.154663897437434,,14.623459747355305,,,12.0,F,btc_call
28.525324642224614,,,,,2022-09-16,2022-10-19,28.525324642224614,,,,,,11.5,F,write_cc
28.525324642224614,,,,,2022-09-16,2022-10-19,28.525324642224614,,,,,,11.5,F,write_cc
28.525324642224614,,,,,2022-09-16,2022-10-19,28.525324642224614,,,,,,11.5,F,write_cc
-8.114163880751546,8.114163880751546,,,,2022-09-22,2022-10-19,,28.525324642224614,,20.41116076147307,,,11.5,F,btc_call
-8.114163880751546,8.114163880751546,,,,2022-09-22,2022-10-19,,28.525324642224614,,20.41116076147307,,,11.5,F,btc_call
-8.114163880751546,8.114163880751546,,,,2022-09-22,2022-10-19,,28.525324642224614,,20.41116076147307,,,11.5,F,btc_call
45.674418740354206,,,,,2022-09-22,2022-10-25,45.674418740354206,,,,,,10.0,F,write_cc
45.674418740354206,,,,,2022-09-22,2022-10-25,45.674418740354206,,,,,,10.0,F,write_cc
45.674418740354206,,,,,2022-09-22,2022-10-25,45.674418740354206,,,,,,10.0,F,write_cc
-17.586593973551736,17.586593973551736,,,,2022-09-27,2022-10-25,,45.674418740354206,,28.08782476680247,,,10.0,F,btc_call
-17.586593973551736,17.586593973551736,,,,2022-09-27,2022-10-25,,45.674418740354206,,28.08782476680247,,,10.0,F,btc_call
-17.586593973551736,17.586593973551736,,,,2022-09-27,2022-10-25,,45.674418740354206,,28.08782476680247,,,10.0,F,btc_call
34.700715634945034,,,,,2022-09-27,2022-10-30,34.700715634945034,,,,,,9.5,F,write_cc
34.700715634945034,,,,,2022-09-27,2022-10-30,34.700715634945034,,,,,,9.5,F,write_cc
34.700715634945034,,,,,2022-09-27,2022-10-30,34.700715634945034,,,,,,9.5,F,write_cc
15.372364343922351,,,,,2022-09-27,2022-10-30,15.372364343922351,,,,,,13.0,T,write_cc
15.372364343922351,,,,,2022-09-27,2022-10-30,15.372364343922351,,,,,,13.0,T,write_cc
-4.816312014115365,4.816312014115365,,,,2022-10-10,2022-10-30,,15.372364343922351,,10.556052329806986,,,13.0,T,btc_call
-4.816312014115365,4.816312014115365,,,,2022-10-10,2022-10-30,,15.372364343922351,,10.556052329806986,,,13.0,T,btc_call
17.748855254027163,,,,,2022-10-11,2022-11-13,17.748855254027163,,,,,,12.5,T,write_cc
17.748855254027163,,,,,2022-10-11,2022-11-13,17.748855254027163,,,,,,12.5,T,write_cc
